property_type,place_with_parent_names,lat-lon,area_m2,price_usd
house,|México|Yucatán|Mérida|,"21.030771,-89.646347",200.0,77994.48
apartment,|México|Chiapas|San Cristóbal de las Casas|,"16.747116,-92.651844",84.0,52686.48
house,|México|Estado de México|San Mateo Atenco|San Mateo Atenco|,"19.276849,-99.546473",179.0,94203.43
house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.082655,-86.857162",251.0,187037.01
house,|México|Distrito Federal|Iztapalapa|,"19.3845016369,-99.0904824436",115.0,81683.41
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.446829,-99.159454",65.0,163064.66
house,|México|Yucatán|Mérida|,"20.99947,-89.642815",169.0,55333.92
apartment,|México|Nuevo León|San Pedro Garza García|,,80.0,300365.64
apartment,|México|Distrito Federal|Coyoacán|,,74.0,54793.94
house,|México|Baja California|Tijuana|,,61.0,38461.13
house,|México|Aguascalientes|Aguascalientes|Cañada Honda|,"21.99782,-102.191307",350.0,193359.39
house,|México|Nuevo León|San Nicolás de los Garza|,"25.714615,-100.230576",309.0,158096.93
house,|México|Estado de México|Toluca|Metepec|,"19.286575,-99.597733",200.0,72865.4
house,|México|Durango|Durango|,"24.024288,-104.615791",98.0,36090.24
house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.537234,-99.025536",83.0,45447.36
house,|México|Distrito Federal|Iztapalapa|Colonial Iztapalapa|,"19.343042,-99.054777",275.0,167543.01
house,|México|Querétaro|Querétaro|,"20.594322,-100.365929",286.0,183875.82
house,|México|Chihuahua|Chihuahua|,,251.0,105397.95
house,|México|Jalisco|Puerto Vallarta|,"20.66976,-105.204857",70.0,35299.94
house,|México|Sinaloa|Mazatlán|,"23.256596,-106.415812",190.0,55320.8
house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|San José Ixhuatepec|,"19.524088,-99.096736",75.0,70757.94
house,|México|Sonora|Cajeme|Ciudad Obregón|Otancahui|,"27.492267,-109.958231",236.0,115910.26
apartment,|México|Distrito Federal|Benito Juárez|,"19.394358,-99.177444",195.0,289775.66
house,|México|Nuevo León|Santa Catarina|,"25.7075214,-100.4578949",150.0,110969.16
house,|México|Chihuahua|Chihuahua|,"28.6329957,-106.0691004",274.0,173906.62
apartment,|México|Puebla|San Andrés Cholula|,,212.0,293358.34
house,|México|Tamaulipas|Tampico|,"22.286442,-97.889847",81.0,44256.64
house,|México|Morelos|Cuernavaca|,"18.926889,-99.218126",186.0,118544.58
apartment,|México|Distrito Federal|Tlalpan|,"19.287568,-99.145853",100.0,159320.71
house,|México|Morelos|Temixco|,"18.835637,-99.252857",200.0,63223.78
house,|México|Puebla|San Pedro Cholula|,,243.0,153317.66
apartment,|México|Yucatán|Telchac Puerto|,,200.0,252895.12
house,|México|Nuevo León|Monterrey|,"25.723516,-100.393311",350.0,252895.12
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.750508,-101.181947",90.0,37934.26
apartment,|México|Puebla|Puebla|Guadalupe|,"19.058884,-98.260885",104.0,92201.34
house,|México|Distrito Federal|Azcapotzalco|,"19.477827,-99.216217",229.0,157690.64
apartment,|México|Morelos|Cuernavaca|,"18.963312,-99.214456",76.0,43729.78
apartment,|México|Distrito Federal|Benito Juárez|,"19.393656,-99.132304",60.0,84845.35
apartment,|México|Estado de México|Cuautitlán Izcalli|,"19.607218,-99.194926",100.0,43202.91
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,195.0,97469.99
house,|México|Estado de México|Calimaya|,"19.1617587,-99.6178249",85.0,57968.87
house,|México|Guerrero|,"16.7795417527,-99.798010105",275.0,316118.9
house,|México|Yucatán|Mérida|Cholul|,"21.0411724,-89.5550539",195.0,91632.19
house,|México|Tabasco|Centro|,"18.00557,-92.959735",205.0,88513.29
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.441809,-99.156423",80.0,65120.49
house,|México|Hidalgo|Pachuca de Soto|,"20.124367,-98.735725",150.0,92223.21
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.9673656268,-97.3916879296",120.0,44783.51
apartment,|México|Distrito Federal|Benito Juárez|,"19.391819,-99.188639",84.0,71653.61
apartment,|México|Distrito Federal|Benito Juárez|,"19.375412,-99.144234",60.0,105372.96
house,|México|Morelos|Cuernavaca|,"23.634501,-102.552788",180.0,63223.78
apartment,|México|Distrito Federal|Azcapotzalco|,"19.496076,-99.204251",60.0,36260.68
house,|México|Sinaloa|Culiacán|,"24.8053549677,-107.4623677164",95.0,44794.13
apartment,|México|Distrito Federal|Tlalpan|,"19.309196,-99.219505",110.0,121863.83
house,|México|Morelos|Temixco|Temixco Centro|,"18.842861,-99.225906",120.0,105372.96
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.51485,-103.389699",140.0,51632.75
house,|México|Jalisco|Tlajomulco de Zúñiga|Tlajomulco de Zúñiga|,"20.532264,-103.484418",175.0,121178.91
house,|México|Morelos|Jiutepec|,"18.9289862,-99.1802147",100.0,47417.83
house,|México|Yucatán|Mérida|,"21.0284038368,-89.6530058049",81.0,39524.23
house,|México|San Luis Potosí|San Luis Potosí|,"22.11830417,-101.0321938992",360.0,245050.24
house,|México|Estado de México|Toluca|Metepec|,"19.233201,-99.558519",115.0,110667.85
